,Title,Response,Error,OMDB_Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,totalSeasons,DVD,BoxOffice,Production,Website
0,"Tiger King: Murder, Mayhem …",False,Movie not found!,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,Ozark,True,N/A,N/A,2017–2022,TV-MA,21 Jul 2017,60 min,"Crime, Drama, Thriller",N/A,"Bill Dubuque, Mark Williams","Jason Bateman, Laura Linney, Sofia Hublitz","A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss.",English,United States,Won 3 Primetime Emmys. 19 wins & 124 nominations total,https://m.media-amazon.com/images/M/MV5BZDUxMWNlMTUtYTljZS00MTE0LTlkYjktOTU1ODZjYzBhMTk0XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}]",N/A,8.5,"265,778",tt5071412,series,4,N/A,N/A,N/A,N/A
2,All American,True,N/A,N/A,2018–,TV-14,10 Oct 2018,45 min,"Drama, Sport",N/A,April Blair,"Daniel Ezra, Samantha Logan, Michael Evans Behling","When a star high school football player from South Central is recruited to play for Beverly Hills High School, two separate worlds collide.",English,United States,1 win & 7 nominations,https://m.media-amazon.com/images/M/MV5BMzBiMTE0NmQtZTM5Yi00ZDZhLWE2MDQtMzU2ZmIxYmQ4ZmFjXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",N/A,7.8,"10,076",tt7414406,series,4,N/A,N/A,N/A,N/A
3,Blood Father,True,N/A,N/A,2016,R,26 Aug 2016,88 min,"Action, Crime, Drama",Jean-François Richet,"Peter Craig, Andrea Berloff","Mel Gibson, Erin Moriarty, Diego Luna",An ex-con reunites with his estranged wayward 17-year old daughter to protect her from drug dealers who are trying to kill her.,"English, Spanish",France,N/A,https://m.media-amazon.com/images/M/MV5BMTk3MzU4ODk1Ml5BMl5BanBnXkFtZTgwNzc5MzE2OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,6.4,"63,669",tt3647498,movie,N/A,11 Oct 2016,N/A,N/A,N/A
4,The Platform,True,N/A,N/A,2019,TV-MA,20 Mar 2020,94 min,"Horror, Sci-Fi, Thriller",Galder Gaztelu-Urrutia,"David Desola, Pedro Rivero","Ivan Massagué, Zorion Eguileor, Antonia San Juan",A vertical prison with one cell per level. Two people per cell. Only one food platform and two minutes per day to feed. An endless nightmare trapped in The Hole.,"Spanish, Italian",Spain,12 wins & 24 nominations,https://m.media-amazon.com/images/M/MV5BMzllNmRjYWItNjlhNS00MjcyLWIyODEtMTg0ZjBiNTNhNzQwXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",73,7.0,"206,905",tt8228288,movie,N/A,21 Mar 2020,N/A,N/A,N/A
5,Car Masters: Rust to Riches,True,N/A,N/A,2018–,TV-PG,14 Sep 2018,40 min,Reality-TV,N/A,N/A,"Constance Nunes, Mark Towle, Shawn Pilot","The colorful crew at Gotham Garage overhauls an eclectic collection of cars and trucks, trading up to a showstopper they can sell for big bucks.",N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BZGM5ZjlhMDYtMzRlNy00Yzk2LWJhYmQtNzgyNDlmNDU1MGJiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}]",N/A,8.4,"10,028",tt8893550,series,3,N/A,N/A,N/A,N/A
6,Unorthodox,True,N/A,N/A,2020,TV-MA,26 Mar 2020,213 min,Drama,N/A,Anna Winger,"Shira Haas, Amit Rahav, Jeff Wilbusch",Story of a young ultra-Orthodox Jewish woman who flees her arranged marriage and religious community to start a new life abroad.,"German, English, Yiddish, Arabic, Polish, Russian",Germany,Won 1 Primetime Emmy. 13 wins & 36 nominations total,https://m.media-amazon.com/images/M/MV5BZjYwY2JhODUtOTE3MS00NTMxLThmYTQtMzg2YjAxZGE2Njk4XkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",N/A,8.0,"74,903",tt9815454,series,1,N/A,N/A,N/A,N/A
7,Love Is Blind,True,N/A,N/A,2020–,TV-MA,13 Feb 2020,N/A,"Game-Show, Reality-TV, Romance",N/A,N/A,"Nick Lachey, Vanessa Lachey, Deepti Vempati","Singles who want to be loved for who they are, rather than what they look like, have signed up for a less conventional approach to modern dating.",English,United States,Nominated for 2 Primetime Emmys. 4 nominations total,https://m.media-amazon.com/images/M/MV5BZGI2MTFiYjUtMjFhMS00ODY5LWJlNGEtZWIyNzNmNWU1NjU2XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,"7,629",tt11704040,series,2,N/A,N/A,N/A,N/A
8,Badland,True,N/A,N/A,2019,TV-14,01 Nov 2019,117 min,Western,Justin Lee,Justin Lee,"Kevin Makely, Trace Adkins, Mira Sorvino","Detective Matthias Breecher is hired to track down the worst of the Confederate war criminals. As he roams the Old West seeking justice, his resolve is tested when he meets a determined pioneer woman who is far more than she seems.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BM2U1YmQ3ZDYtM2VhZS00N2RkLWFjNGQtYTNhMDgwNjYxYTNhXkEyXkFqcGdeQXVyNDExMzMxNjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",46,5.6,"2,669",tt10253466,movie,N/A,01 Nov 2019,N/A,N/A,N/A
9,Uncorked,True,N/A,N/A,2020,TV-MA,27 Mar 2020,104 min,Drama,Prentice Penny,Prentice Penny,"Courtney B. Vance, Lashun Pollard, Michael Mobley",Elijah must balance his dream of becoming a master sommelier with his father's expectations that he carry on the family's Memphis BBQ joint.,"English, French","United States, France",N/A,https://m.media-amazon.com/images/M/MV5BZTg3NWFkN2ItOTdjMi00NDk4LTllMDktNGZiNTUxYmZmMjlmXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",62,6.4,"5,456",tt9261218,movie,N/A,28 Mar 2020,N/A,N/A,N/A
