As of,"Tiger King: Murder, Mayhem …",Ozark,All American,Blood Father,The Platform,Car Masters: Rust to Riches,Unorthodox,Love is Blind,Badland,Uncorked,Nailed It!,How to Fix a Drug Scandal,The Roommate,The Players Club,Salt,Money Heist,Coffee & Kareem,Angel Has Fallen,The Hangover,The Big Show Show,Legacies,Community,Love Wedding Repeat,Code 8,Hop,The Main Event,Chris DâElia: No Pain,The Innocence Files,Outer Banks,Despicable Me,Too Hot to Handle,#blackAF,Waco,The Green Hornet,Cooked with Cannabis,The Willoughbys,Absurd Planet,Extraction,Django Unchained,"Coronavirus, Explained",The Last Kingdom,Never Have I Ever,Murder to Mercy: The Cyntoi…,Dangerous Lies,All Day and a Night,Hollywood,Den of Thieves,The Half of It,Arctic Dogs,Jerry Seinfeld: 23 Hours to…,Becoming,Workinâ Moms,Dead to Me,Sleepless,John Henry,Greyâs Anatomy,Have a Good Trip: Adventure…,Trial by Media,House at the End of the Street,The Wrong Missy,Riverdale,White Lines,Public Enemies,Magic for Humans,Soul Surfer,Avatar: The Last Airbender,Sweet Magnolias,The Flash,The Lovebirds,Just Go With It,History 101,Uncut Gems,Jeffrey Epstein: Filthy Rich,Space Force,The Healer,Fuller House,The Help,Clueless,Cloudy with a Chance of Mea…,13 Reasons Why,The Last Days of American C…,Queer Eye,365 Days,Queen of the South,Hannibal,Da 5 Bloods,PokÃ©mon Journeys: The Series,F is for Family,Alexa & Katie,How to Get Away with Murder,Mr. Iglesias,The Order,Magnetic,Floor is Lava,Feel the Beat,Lost Bullet,The Nut Job,Baby Mama,Love,Athlete A,Eurovision Song Contest: Th…,Crazy Delicious,Home Game,George Lopez: Weâll Do It f…,Dark,Unsolved Mysteries,Patriots Day,The Town,Warrior Nun,A Thousand Words,The Baby-Sitters Club,Desperados,I Now Pronounce You Chuck a…,Double Jeopardy,Only,Dr. Seussâ The Lorax,The Old Guard,The Epic Tales of Captain U…,Down to Earth with Zac Efron,The Business of Drugs,The Office,Dark Desire,Fatal Affair,Cursed,The Last Dance,Indian Matchmaking,In the Dark,Fear City: New York vs. The…,Ip Man 4: The Finale,The Kissing Booth 2,Animal Crackers,The Kissing Booth,Shameless,Last Chance U,Transformers: War for Cyber…,Zookeeper,The Umbrella Academy,Sugar Rush,Moesha,Rogue Warfare: The Hunt,Latte & the Magic Waterstone,Immigration Nation,Malibu Rescue: The Next Wave,Jurassic Park,Worldâs Most Wanted,Dennis the Menace,The Seven Deadly Sins,Work It,Wizards: Tales of Arcadia,Selling Sunset,The Lost Husband,Game On: A Comedy Crossover…,Mr. Peabody & Sherman,(Un)Well,Project Power,The Legend of Korra,Teenage Bounty Hunters,Glow Up,The Game,High Score,Drunk Parents,Lucifer,The Sleepover,Rust Valley Restorers,Hoops,1BR,Trinkets,Million Dollar Beach House,Bunkâd,Cocomelon,Cobra Kai,I Am a Killer Released,The Frozen Ground,Quantum of Solace,The Smurfs,"Sister, Sister",Due Date,The Boss Baby: Get That Baby,Chefâs Table: BBQ,"Love, Guaranteed",Away,Anaconda,Puss in Boots,#Alive,Get Organized with The Home…,The Babysitter: Killer Queen,The Social Dilemma,Pets United,Girlfriends,Cuties,Julie and the Phantoms,Ancient Aliens,How to Train Your Dragon 2,The Devil All the Time,The Smurfs 2,Challenger: The Final Flight,The Paramedic,The Take,Ratched,Jurassic World: Camp Cretac…,The Blacklist,The American Barbecue Showdown,Enola Holmes,Real Steel,The Great British Baking Show,The Good Place,Sneakerheads,Bad Teacher,American Murder: The Family…,Welcome to Sudden Death,Wentworth,The Outpost,Yogi Bear,Emily in Paris,Schittâs Creek,Evil,Big Daddy,Colombiana,American Pie Presents: Girl…,Hubie Halloween,The 100,The Haunting of Bly Manor,The Cabin with Bert Kreischer,Moneyball,One on One,The Trial of the Chicago 7,A Babysitterâs Guide to Mon…,Dream Home Makeover,Tremors: Shrieker Island,Grand Army,Rebecca,My Next Guest Needs No Intr…,"Yes, God, Yes",Over the Moon,Barbarians,The Queenâs Gambit,Blood of Zeus,Holidate,Secrets of the Saqqara Tomb,Rogue City,His House,Knock Knock,Mile 22,Snowden,Easy A,Chappelleâs Show,Operation Christmas Drop,The Impossible,Midnight at the Magnolia,Chappelle's Show,Dash & Lily,Illumination Presents The G…,60 Days In,Trial 4,The Liberator,Jingle Jangle: A Christmas …,American Horror Story,The Life Ahead,The Crown,Hometown Holiday,Kevin Hart: Zero F**ks Given,The Boss Baby: Back in Busi…,Survivor,The Princess Switch: Switch…,Christmas on the Square,If Anything Happens I Love You,Hillbilly Elegy,Hard Kill,The Christmas Chronicles 2,The Christmas Chronicles,How the Grinch Stole Christmas,Virgin River,The Beast,The 2nd,Peppermint,Rust Creek,Alien Worlds,Marauders,Selena: The Series,Big Mouth,Ava,Triple 9,Manhunt: Deadly Games,The Prom,A California Christmas,Tiny Pretty Things,The Ripper,Braven,Ma Raineyâs Black Bottom,"Ariana Grande: Excuse Me, I…",After We Collided,Sweet Home,The Midnight Sky,Klaus,Bridgerton,We Can Be Heroes,Death to 2020,The Croods,Dare Me: Season 1,Chilling Adventures of Sabrina,Rango,Dare Me,Unknown,17 Again,30 Minutes or Less,The Netflix Afterparty,History of Swear Words,Gabby's Dollhouse,Pieces of a Woman,Surviving Death,Lupin,L.A.'s Finest,Jenni Rivera: Mariposa de B…,Night Stalker: The Hunt for…,Outside the Wire,Disenchantment,Henry Danger,Bling Empire,The Vanished,Homefront,Cut Throat City,Fate: The Winx Saga,The White Tiger,The Next Three Days,Demon Slayer: Kimetsu No Yaiba,"Go, Dog, Go",Below Zero,The Dig,Finding âOhana,Firefly Lane,All About the Benjamins,Malcolm & Marie,The Sinner,Space Sweepers,Are We There Yet?,iCarly,War Dogs,Crime Scene: The Vanishing …,Squared Love,Red Dot,To All the Boys Always and …,The Crew,Good Girls,Animals on the Loose: A You…,Behind Her Eyes,I Care a Lot.,Tribes of Europa,The Conjuring 2,Ginny & Georgia,Age of Samurai: Battle for …,Canine Intervention,Bigfoot Family,Biggie: I Got A Story to Tell,Step Up Revolution,Murder Among the Mormons,Moxie,Training Day,Sentinelle,The Dark Knight,Parker,Last Chance U: Basketball,Marriage or Mortgage,Yes Day,The One,Paradise PD,The Lost Pirate Kingdom,Savages,Operation Varsity Blues,The Last Blockbuster,Deadly Illusions,Skylines,Jiu Jitsu,Country Comfort,Who Killed Sara?,Seaspiracy,Secret Magic Control Agency,Bad Trip,A Week Away,The Secret Life of Pets 2,The BFG,The Irregulars,Big Time Rush,Octonauts & The Ring of Fire,Friends with Benefits,Concrete Cowboy,Hasta el cielo,Worn Stories,The Serpent,White Boy,What Lies Below,Sniper: Ghost Shooter,Family Reunion,Saving Private Ryan,Legally Blonde,This is a Robbery: The Worl…,Thunder Force,The Little Rascals,The Stand-In,"Nicky, Ricky, Dicky & Dawn",Dad Stop Embarrassing Me!,Why Did You Kill Me?,The Circle US,The Baker and the Beauty,Synchronic,Stowaway,Life in Color with David At…,Shadow and Bone,American Me,Things Heard & Seen,Yasuke,The Mitchells vs. The Machines,The Innocent,Madagascar 3: Europe's Most…,Love Happens,Green Zone,Your Highness,The Sons of Sam: A Descent …,Jupiterâs Legacy,Monster,Dead Man Down,StartUp,The Upshaws,CastleVania,The Woman in the Window,Jungle Beat: The Movie,Halston,I Am All Girls,"Love, Death & Robots",Sabotage,Army of the Dead,Home,Blue Miracle,Ragnarok,Dog Gone Trouble,The Kominsky Method,Dirty John,2 Hearts,Kim's Convenience,Sweet Tooth,Monsters vs. Aliens,Xtreme,Bo Burnham: Inside,Awake,Manifest,Wish Dragon,A Haunted House 2,The Devil Below,Black Summer,Fatherhood,Ãlite,The Worldâs Most Amazing Va…,Good on Paper,The Ice Road,Sex/Life,Sophie: A Murder in West Cork,The Bureau of Magical Things,Fear Street Part 1: 1994,Mother's Day,Talladega Nights: The Balla…,Kung Fu Panda,Resident Evil: Infinite Dar…,Major Grom: Plague Doctor,Fear Street Part 2: 1978,Atypical,The Cook of Castamar,Gunpowder Milkshake,Heist,Fear Street Part 3: 1666,Twilight,The Twilight Saga: New Moon,The Twilight Saga: Eclipse,The Twilight Saga: Breaking…,Trollhunters: Rise of the T…,Blood Red Sky,Masters of the Universe: Re…,The Last Letter From Your L…,The Walking Dead,Resort to Love,The Vault,The Losers,Top Secret UFO Projects: De…,Cocaine Cowboys: The Kings …,Aftermath,Vivo,Hit & Run,Major Payne,The Kissing Booth 3,Untold,Beckett,Grace and Frankie,Bake Squad,Black Island,Sweet Girl,The Loud House Movie,The Chair,The Defeated,The Witcher: Nightmare of t…,Clickbait,"Bob Ross: Happy Accidents, …",Heâs All That,SAS: Red Notice,Green Lantern,Welcome Home Roscoe Jenkins,Turning Point: 9/11 and the…,Afterlife of the Party,Sharkdog,Worth,On the Verge,Kate,Prey,An Unfinished Life,Safe House,Nightbooks,Sex Education,Squid Game,The Father Who Moves Mountains,Intrusion,Grown Ups,Monsters Inside: The 24 Fac…,My Little Pony: A New Gener…,Midnight Mass,The Starling,Britney vs Spears,No One Gets Out Alive,The Guilty,Maid,Seinfeld,The DUFF,On My Block,Titanic,Dave Chappelle: The Closer,Thereâs Someone Inside Your…,The Five Juanas,You,The Forgotten Battle,Going in Style,My Name,Night Teeth,Locke & Key,Inside Job,Maya and the Three,King Arthur: Legend of the …,Hypnotic,Army of Thieves,Colin in Black & White,21 Jump Street,Replicas,The Harder They Fall,Catching Killers,Love Hard,Narcos: Mexico,Arcane,The Thundermans,Passing,Red Notice,Animal,American Pie: Reunion,The Queen of Flow,The Princess Switch 3: Roma…,Tiger King,Cowboy Bebop,Hellbound,Here Comes the Boom,True Story,Bruised,A Boy Called Christmas,A Castle for Christmas,School of Chocolate,Elves,Lost in Space,The Power of the Dog,Jojoâs Bizarre Adventure,Life,Single all the Way,Single All the Way,Jurassic World Camp Cretaceous,Ink Master,Law Abiding Citizen,Peter Rabbit 2,The Unforgivable,Back to the Outback,The Shack,Twentysomethings: Austin,The Witcher,Selling Tampa,A California Christmas: Cit…,Grumpy Christmas,WWII in Color: Road to Victory,Donât Look Up,White Christmas,The Silent Sea,Daughter From Another Mother,Death to 2021,Crime Scene: The Times Squa…,The Lost Daughter,Stay Close,Journey 2: The Mysterious I…,Scary Stories to Tell in th…,The Longest Yard,Dark Shadows,Hype House,The Colony,Cheer,Brazen,Archive 81,After We Fell,The Puppet Master: Hunting …,The Royal Treatment,Annabelle: Creation,That Girl Lay Lay,Munich: The Edge of War,Chosen,I Am Georgina,The Woman in the House Acro…,All of Us Are Dead,Home Team,In From the Cold,Feria: The Darkest Light,Can You Keep a Secret?,Raising Dion,Transformers: Revenge of th…,Despicable Me 2,The Tinder Swindler,The Lucky One,Murderville,Inventing Anna,Tall Girl 2,St. Vincent,jeen-yuhs: A Kanye Trilogy,Blackhat,Fistful of Vengeance,Texas Chainsaw Massacre,The Cuphead Show,Tyler Perryâs A Madea Homec…,Vikings: Valhalla,Restless,Worst Roommate Ever,Shrek 2,Battleship,Just Like Heaven,Against the Ice,The Weekend Away,Pieces of Her,Shrek,Shooter
2020-04-01,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-02,1.0,2.0,3.0,6.0,9.0,10.0,8.0,,,,4.0,5.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-03,1.0,2.0,3.0,10.0,,,7.0,,,,5.0,4.0,6.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-04,1.0,2.0,4.0,,,,9.0,,,,8.0,6.0,7.0,10.0,,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-05,1.0,2.0,5.0,,,,10.0,,,,7.0,6.0,8.0,,,4.0,3.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-06,1.0,2.0,6.0,,,,,,,,8.0,7.0,9.0,,,5.0,3.0,4.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-07,1.0,2.0,6.0,,,,,,,,8.0,9.0,,,,5.0,3.0,4.0,,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-08,1.0,2.0,7.0,,,,,,,,9.0,,,,,6.0,3.0,5.0,10.0,4.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-09,1.0,2.0,7.0,,,,,,,,9.0,,,,,6.0,5.0,4.0,10.0,3.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-10,1.0,2.0,6.0,,,,,,,,9.0,,,,,5.0,7.0,4.0,,3.0,8.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
